dataset_name,quality_label,problem_count,severity_score,missing_values_issue,class_imbalance_issue,outliers_issue,skew_kurtosis_issue,num_rows,num_columns,missing_percentage,imbalance_ratio,num_outlier_features,num_skewed_features
digit.csv,Bad,2,45,False,False,True,True,42000,785,0.0,0.112,44,512
dirty_v3_path.csv,Bad,3,47,True,False,True,True,30000,20,15.0,,14,4
disney_plus_shows.csv,Bad,2,40,True,False,True,False,992,19,70.56,,1,0
earthquake_alert_balanced_dataset.csv,Good,2,21,False,False,True,True,1300,6,0.0,,4,3
earthquake_data_tsunami.csv,Bad,2,37,False,False,True,True,782,13,0.0,,6,5
economy_data.csv,Good,2,16,False,False,True,True,224,8,0.0,,1,1
educational_attainment_supplementary_data.csv,Bad,3,75,True,False,True,True,79055,29,100.0,,19,19
Electric_Production.csv,Good,0,0,False,False,False,False,397,2,0.0,,0,0
Electric_Vehicle_Population_Data (1).csv,Bad,2,35,False,False,True,True,261698,17,0.24,,5,6
f1_dnf.csv,Bad,3,47,True,False,True,True,10000,31,10.18,,7,5
Fertilizer Prediction.csv,Good,2,16,False,False,True,True,99,9,0.0,,1,1
Final_data.csv,Good,2,31,False,False,True,True,20000,54,0.0,,18,2
Fish.csv,Good,2,21,False,False,True,True,159,7,0.0,,4,1
fitness_and_workout_dataset.csv,Good,2,16,False,False,True,True,2598,10,0.15,,2,1
focus.csv,Good,2,21,False,False,True,True,5454,7,0.0,,4,2
Food_Costs.csv,Bad,2,45,False,False,True,True,92,14,1.09,,12,12
Foodpanda Analysis Dataset.csv,Good,0,0,False,False,False,False,6000,20,0.0,,0,0
ford.csv,Bad,2,37,False,False,True,True,17965,9,0.0,,6,5
games.csv,Good,2,31,False,False,True,True,20058,16,0.0,,6,3
GDP_1975_2025_uploaded.csv,Bad,3,65,True,False,True,True,205,52,29.76,,51,51
Generative AI Tools - Platforms 2025.csv,Good,2,30,False,False,True,True,113,22,0.0,,2,13
generative_ai_misinformation_dataset.csv,Good,1,10,False,False,True,False,500,31,0.0,,1,0
Global finance data.csv,Bad,2,45,False,False,True,True,39,26,0.0,,18,14
global_climate_events_economic_impact_2020_2025.csv,Bad,2,45,False,False,True,True,3000,20,0.0,,9,11
global_house_purchase_dataset.csv,Bad,2,35,False,False,True,True,200000,25,0.0,,5,6
Gold-Silver-GeopoliticalRisk_HistoricalData.csv,Bad,3,75,True,False,True,True,10571,15,99.9,,13,9
googleplaystore.csv,Bad,3,26,True,False,True,True,10841,13,13.6,,1,1
googleplaystore_user_reviews.csv,Bad,2,40,True,False,True,False,64295,5,41.79,,1,0
GTA Vice_City.csv,Bad,2,35,False,False,True,True,52099,16,0.57,,5,7
gymshark_products.csv,Bad,3,46,True,False,True,True,44831,10,100.0,,1,1
HAM10000_metadata.csv,Good,1,10,False,False,True,False,10015,7,0.57,,1,0
Happiness.csv,Good,2,21,False,False,True,True,156,9,0.0,,5,2
health_lifestyle_dataset.csv,Good,1,6,False,False,False,True,100000,16,0.0,,0,2
healthcare-dataset-stroke-data.csv,Good,2,22,False,False,True,True,5110,12,3.93,,2,5
heart_disease_uci.csv,Bad,3,51,True,False,True,True,920,16,66.41,,5,2
high_diamond_ranked_10min.csv,Bad,2,45,False,False,True,True,9879,40,0.0,,29,9
hotel_bookings.csv,Bad,3,65,True,False,True,True,119390,32,94.31,,5,15
housing.csv,Bad,2,37,False,False,True,True,20640,10,1.0,0.443,6,5
HR_comma_sep.csv,Good,2,22,False,False,True,True,14999,10,0.0,,1,4
hyundi.csv,Bad,2,37,False,False,True,True,4860,9,0.0,,6,4
ice_core_co2.csv,Good,2,16,False,False,True,True,193,8,0.0,,1,1
insurance.csv,Good,2,16,False,False,True,True,1338,7,0.0,,2,1
Iris.csv,Good,1,10,False,False,True,False,150,6,0.0,0.333,1,0
labeled_data.csv,Good,2,16,False,False,True,True,24783,6,0.0,,1,3
laptop_price.csv,Good,2,16,False,False,True,True,1303,13,0.0,,2,1
loan_approval.csv,Good,0,0,False,False,False,False,2000,8,0.0,,0,0
Mall_Customers.csv,Good,1,10,False,False,True,False,200,5,0.0,,1,0
marketing_campaign.csv,Good,0,0,False,False,False,False,2240,1,0.0,,0,0
master.csv,Bad,3,57,True,False,True,True,27820,12,69.94,,5,4
medical_insurance.csv,Bad,2,40,True,False,True,False,100000,54,30.08,,2,0
meets.csv,Good,1,30,True,False,False,False,8482,8,35.2,,0,0
melb_data.csv,Bad,3,75,True,False,True,True,13580,21,47.5,,13,10
Mental_Health_and_Social_Media_Balance_Dataset.csv,Good,1,10,False,False,True,False,500,10,0.0,,3,0
merc.csv,Bad,2,45,False,False,True,True,13119,9,0.0,,6,6
mobile_test.csv,Good,2,16,False,False,True,True,1000,21,0.0,,3,1
mobile_train.csv,Good,2,16,False,False,True,True,2000,21,0.0,,2,2
mushrooms.csv,Good,0,0,False,False,False,False,8124,23,0.0,,0,0
My shop 2.csv,Good,2,16,False,False,True,True,107,10,0.0,,3,3
netflix_titles.csv,Bad,3,36,True,False,True,True,8807,12,29.91,0.696,1,1
NQ_in_15_minute.csv,Good,2,16,False,False,True,True,6739,7,0.0,,1,1
NQ_in_1_hour.csv,Good,2,16,False,False,True,True,10504,7,0.0,,1,1
NQ_in_1_minute.csv,Good,2,16,False,False,True,True,6554,7,0.0,,1,1
NQ_in_2_hour.csv,Good,2,16,False,False,True,True,5479,7,0.0,,1,1
NQ_in_30_minute.csv,Good,2,21,False,False,True,True,9165,7,0.0,,5,1
NQ_in_3_hour.csv,Good,2,16,False,False,True,True,5712,7,0.0,,1,1
NQ_in_3_minute.csv,Good,2,16,False,False,True,True,6786,7,0.0,,1,1
NQ_in_45_minute.csv,Good,2,21,False,False,True,True,6179,7,0.0,,5,1
NQ_in_4_hour.csv,Good,2,16,False,False,True,True,5817,7,0.0,,1,1
NQ_in_5_minute.csv,Good,2,21,False,False,True,True,5452,7,0.0,,5,1
NQ_in_daily.csv,Good,2,27,False,False,True,True,6648,7,0.0,,5,4
NQ_in_monthly.csv,Good,2,27,False,False,True,True,317,7,0.0,,5,4
NQ_in_weekly.csv,Good,2,27,False,False,True,True,1372,7,0.0,,5,4
nvidia_1second.csv,Bad,3,57,True,False,True,True,1108,9,100.0,,4,4
nvidia_daily.csv,Good,1,30,True,False,False,False,922,9,100.0,,0,0
nvidia_hourly.csv,Good,1,30,True,False,False,False,1967,9,100.0,,0,0
nvidia_monthly.csv,Bad,3,57,True,False,True,True,322,9,100.0,,4,4
nvidia_weekly.csv,Bad,3,57,True,False,True,True,922,9,100.0,,4,4
ObesityDataSet.csv,Good,2,21,False,False,True,True,2111,17,0.0,,4,2
olist_customers_dataset.csv,Good,0,0,False,False,False,False,99441,5,0.0,,0,0
olist_geolocation_dataset.csv,Good,2,16,False,False,True,True,1000163,5,0.0,,2,2
olist_order_items_dataset.csv,Good,2,16,False,False,True,True,112650,7,0.0,,2,3
olist_order_payments_dataset.csv,Good,2,16,False,False,True,True,103886,5,0.0,,2,3
olist_order_reviews_dataset.csv,Bad,3,46,True,False,True,True,99224,7,88.34,,1,1
olist_orders_dataset.csv,Good,0,0,False,False,False,False,99441,8,2.98,,0,0
olist_products_dataset.csv,Bad,2,45,False,False,True,True,32951,9,1.85,,7,6
olist_sellers_dataset.csv,Good,0,0,False,False,False,False,3095,4,0.0,,0,0
online_gaming_insights.csv,Good,1,6,False,False,False,True,40034,13,0.0,,0,1
online_shoppers_intention.csv,Bad,2,45,False,False,True,True,12330,18,0.0,,9,13
openpowerlifting.csv,Bad,3,75,True,False,True,True,386414,17,99.68,,9,6
patients.csv,Good,0,0,False,False,False,False,1000,7,0.0,,0,0
performance_data.csv,Bad,2,35,False,False,True,True,880,17,0.0,,5,10
Phishing_Legitimate_full.csv,Bad,2,45,False,False,True,True,10000,50,0.0,,10,39
player_data.csv,Good,2,20,True,False,True,False,4550,9,6.64,0.346,2,0
pokemon.csv,Bad,3,75,True,False,True,True,801,41,47.94,,18,23
population_data.csv,Bad,3,37,True,False,True,True,233,12,9.87,,4,4
Post-COVID_Conditions.csv,Bad,3,57,True,False,True,True,18639,16,90.17,,5,5
problem_heatmap.csv,Good,1,30,True,False,False,False,162,7,97.53,,0,0
product_category_name_translation.csv,Good,0,0,False,False,False,False,71,2,0.0,,0,0
products.csv,Good,0,0,False,False,False,False,89,5,0.0,,0,0
pulsar_data_test.csv,Bad,3,75,True,False,True,True,5370,9,100.0,,8,6
pulsar_data_train.csv,Bad,3,55,True,False,True,True,12528,9,13.85,,8,7
quality_matrix.csv,Bad,3,75,True,False,True,True,198,16,91.92,,10,11
ramen-ratings.csv,Good,1,30,True,False,False,False,2580,7,98.41,,0,0
Report_Card_Discipline_for_2022-23.csv,Bad,3,36,True,False,True,True,454055,29,22.01,,3,2
Reviews.csv,Good,2,27,False,False,True,True,568454,10,0.0,,4,4
RoadAccidents.csv,Good,1,10,False,False,True,False,172585,2,0.0,,1,0
sales.csv,Good,0,0,False,False,False,False,1040200,5,0.0,,0,0
sales_data_sample.csv,Bad,3,46,True,False,True,True,2823,25,89.3,,3,1
samiwatches.csv,Bad,3,75,True,False,True,True,1670,42,58.26,,10,10
school_and_country_table.csv,Good,0,0,False,False,False,False,818,2,0.0,,0,0
ScreenTime vs MentalWellness.csv,Bad,2,37,False,False,True,True,400,15,0.0,,11,4
SeoulBikeData.csv,Good,2,22,False,False,True,True,8760,14,0.0,,3,4
services_weekly.csv,Good,2,21,False,False,True,True,208,10,0.0,,4,2
shopping_behavior_updated.csv,Good,0,0,False,False,False,False,3900,18,0.0,,0,0
skoda.csv,Good,2,27,False,False,True,True,6267,9,0.0,,5,5
Sleep_health_and_lifestyle_dataset.csv,Bad,3,46,True,False,True,True,374,13,58.56,,1,1
spam.csv,Good,0,0,False,False,False,False,5572,2,0.0,,0,0
spotify_churn_dataset.csv,Good,2,16,False,False,True,True,8000,12,0.0,,1,3
SpotifyFeatures.csv,Bad,2,37,False,False,True,True,232725,18,0.0,,7,5
startup data.csv,Bad,3,75,True,False,True,True,923,47,63.71,,11,24
stocks.csv,Good,2,27,False,False,True,True,190918,9,0.0,,4,4
Student data 4.csv,Good,0,0,False,False,False,False,136,7,0.0,,0,0
Student Stress Factors (2).csv,Good,1,10,False,False,True,False,520,6,0.0,,1,0
student-mat.csv,Bad,3,52,False,True,True,True,395,33,0.0,0.884,9,4
student_exam_scores.csv,Good,0,0,False,False,False,False,200,6,0.0,,0,0
student_lifestyle_dataset.csv,Good,1,10,False,False,True,False,2000,8,0.0,,2,0
StudentPerformanceFactors.csv,Good,2,16,False,False,True,True,6607,20,1.36,,3,1
StudentsPerformance.csv,Good,1,10,False,False,True,False,1000,8,0.0,,3,0
SuperMarket Analysis.csv,Good,1,15,False,False,True,False,1000,17,0.0,,4,0
survey_results_schema.csv,Good,1,10,True,False,False,False,78,6,14.1,,0,0
test.csv,Good,2,16,False,False,True,True,1000,21,0.0,,3,1
timesData.csv,Bad,3,26,True,False,True,True,2603,14,8.95,,3,3
titanic_test.csv,Bad,3,46,True,False,True,True,418,11,78.23,,3,3
titanic_train.csv,Bad,3,46,True,False,True,True,891,12,77.1,0.616,3,3
tmdb_5000_credits.csv,Good,2,16,False,False,True,True,4803,4,0.0,,1,1
tmdb_5000_movies.csv,Bad,3,75,True,False,True,True,4803,20,64.36,,7,7
toyota.csv,Bad,2,37,False,False,True,True,6738,9,0.0,,6,4
train.csv,Good,2,16,False,False,True,True,2000,21,0.0,,2,2
Tweets.csv,Bad,2,36,True,False,False,True,14640,15,99.78,,0,2
unclean cclass.csv,Bad,3,46,True,False,True,True,4006,11,66.82,,1,1
unclean focus.csv,Bad,3,46,True,False,True,True,5604,11,60.96,,1,1
urban_climate.csv,Good,2,21,False,False,True,True,11040,12,0.0,,5,2
Using Linguistic Diversity China.csv,Good,1,20,False,False,False,True,65535,17,0.0,,0,6
vauxhall.csv,Bad,2,37,False,False,True,True,13632,9,0.0,,6,4
vw.csv,Good,2,27,False,False,True,True,15157,9,0.0,,5,4
WA_Fn-UseC_-HR-Employee-Attrition.csv,Bad,3,60,False,True,True,True,1470,35,0.0,0.839,9,7
WA_Fn-UseC_-Telco-Customer-Churn.csv,Good,1,10,False,True,False,False,7043,21,0.16,0.735,0,0
water_potability.csv,Bad,2,45,True,False,True,False,3276,10,23.84,,9,0
weatherAUS.csv,Bad,3,61,True,False,True,True,145460,23,48.01,,12,2
weatherHistory.csv,Bad,3,36,False,True,True,True,96453,12,0.54,0.888,5,2
winequality-red.csv,Bad,2,37,False,False,True,True,1599,12,0.0,0.426,11,5
youtube-top-100-songs-2025.csv,Good,1,10,True,False,False,False,100,13,15.0,,0,0
Youtube01-Psy.csv,Good,1,10,False,False,True,False,350,5,0.0,,1,0
Youtube02-KatyPerry.csv,Good,1,10,False,False,True,False,350,5,0.0,,1,0
Youtube03-LMFAO.csv,Good,1,10,False,False,True,False,438,5,0.0,,1,0
Youtube04-Eminem.csv,Bad,2,40,True,False,True,False,448,5,54.69,,1,0
Youtube05-Shakira.csv,Good,1,10,False,False,True,False,370,5,0.0,,1,0
